Time,Distance
18.53333333,157.71
18.56666667,160.25
18.6,159.39
18.63333333,159.67
18.66666667,159.52
18.7,161.37
18.73333333,160.25
18.76666667,160.02
18.8,159.02
19.03333333,145.15
19.06666667,144.31
19.1,144.07
19.13333333,143.84
19.16666667,141.89
19.2,139.46
19.23333333,136.31
19.26666667,134.63
19.3,135.16
19.33333333,133.24
19.36666667,135.44
19.4,135.44
19.43333333,134.48
19.46666667,133.24
19.5,133.52
19.53333333,132.56
19.56666667,132.85
19.6,131.61
20.26666667,144.1
20.36666667,133.66
20.4,129.07
20.43333333,123.97
20.46666667,123.63
20.53333333,123.79
20.56666667,122.18
20.6,123.36
20.63333333,123.97
20.66666667,124.95
20.7,125.13
20.73333333,127.1
20.76666667,131.69
20.8,132.67
20.83333333,134.16
20.86666667,134.16
20.9,133.36
20.93333333,132.77
20.96666667,133.2
21,133.42
21.03333333,134.12
21.06666667,136.56
21.1,138.05
21.13333333,140.13
21.16666667,141.99
21.2,144.84
21.23333333,146.11
21.26666667,148.63
21.3,149.26
21.33333333,148.31
21.36666667,148.96
21.4,148.37
21.43333333,148.66
21.46666667,150
21.5,148.43
21.53333333,150.23
21.56666667,149.63
21.76666667,146.7
22.43333333,145.88
22.66666667,159.8
22.7,157.81
22.73333333,156.92
22.76666667,155.72
22.8,154.73
22.83333333,154.73
22.86666667,153.55
22.9,153.55
22.93333333,153.55
22.96666667,152.47
23,152.47
23.03333333,153.55
23.06666667,153.47
23.1,153.55
23.13333333,153.64
23.16666667,152.84
23.2,152.95
23.23333333,154.06
23.26666667,153.94
23.3,155.71
23.33333333,157.84
23.36666667,158.82
23.4,158.53
23.43333333,158.27
23.46666667,156.04
23.5,156.55
23.53333333,160.46
23.7,167.71
23.76666667,162.39
23.8,160.85
23.83333333,159.13
23.86666667,157.29
23.9,154.72
23.93333333,156.08
24.1,159.59
24.13333333,157.89
24.16666667,158.66
24.2,158.4
24.23333333,159.83
24.26666667,160.1
24.3,158.9
24.53333333,156.68
24.56666667,157.41
24.6,156.68
24.63333333,157.65
24.66666667,158.62
24.73333333,161.62
24.83333333,158.81
24.9,155.46
24.93333333,153.12
24.96666667,152
25,152.16
25.03333333,154.64
25.06666667,156.28
25.1,162.12
25.13333333,161.45
25.16666667,158.15
25.2,156.05
25.23333333,153.03
25.26666667,153.01
25.4,143
26.2,127.14
26.23333333,127.19
26.26666667,127.25
26.3,127.25
26.33333333,124.68
26.53333333,165.98
26.56666667,163
26.6,165.1
26.63333333,160.9
26.66666667,159.02
26.7,160.02
26.73333333,160.38
26.76666667,160.51
26.8,160.38
26.83333333,161.37
26.86666667,161.37
26.9,161.12
26.93333333,157.62
26.96666667,164.01
27.16666667,156.39
27.2,151.21
27.23333333,148.08
27.26666667,145
27.33333333,140.03
27.36666667,135.24
27.4,131.97
27.43333333,130.73
27.6,158.68
27.63333333,156.32
27.66666667,151.05
27.7,152
27.73333333,153
27.76666667,152.01
27.8,154
27.83333333,153
27.86666667,151.05
27.9,151.01
27.93333333,151
27.96666667,152.01
28.33333333,133.14
28.36666667,132.1
29.3,141.23
29.33333333,144.12
29.36666667,151.05
29.4,156.01
29.43333333,162.05
29.46666667,164.25
29.5,163.78
29.53333333,161.37
29.56666667,161.64
29.6,158.53
29.63333333,160.65
29.66666667,155.17
29.73333333,151.27
29.76666667,151.27
29.8,151.16
29.83333333,151.16
29.86666667,152.05
29.9,154
29.93333333,153.01
29.96666667,156.12
30,156.46
30.03333333,156.54
30.16666667,160.31
30.2,160.53
30.3,161.31
30.33333333,157
30.4,151.75
30.43333333,156.68
30.6,150.08
30.63333333,148.01
30.66666667,150.12
30.7,149.27
30.73333333,150.21
30.76666667,150.01
30.8,151
30.83333333,153.01
30.86666667,154.05
30.9,154.08
30.93333333,154.12
30.96666667,157.2
31,158.62
31.03333333,157.92
31.06666667,160.9
31.1,162.89
31.13333333,163.44
31.16666667,162.52
31.23333333,158.15
31.3,155.82
31.46666667,149.21
31.5,148.05
31.53333333,150
31.76666667,142.58
31.8,138.85
31.83333333,139.06
32.33333333,164.05
32.36666667,163.15
32.4,163.37
32.43333333,162.44
32.46666667,158.2
32.53333333,155.05
32.56666667,155.01
32.86666667,144.81
32.9,152.03
32.93333333,150.08
32.96666667,147.09
33,148.12
33.03333333,151.08
33.43333333,139.7
33.46666667,142.23
33.5,147.34
33.53333333,151.74
33.56666667,156.42
33.6,161.12
33.63333333,159.8
33.66666667,153.94
33.7,151.85
33.73333333,152.95
33.76666667,151.95
