Frame,Green_X,Green_Y,Lime_X,Lime_Y,Distance
667,0,0,0,0,
668,0,0,0,0,
669,0,0,0,0,
670,0,0,0,0,
671,988,475,1136,459,148.86
672,978,489,1126,472,148.97
673,971,501,1118,483,148.1
674,0,0,1112,494,
675,0,0,1108,502,
676,0,0,1106,506,
677,0,0,1106,508,
678,0,0,1107,509,
679,0,0,1107,509,
680,0,0,1106,509,
681,0,0,1105,509,
682,0,0,1103,511,
683,0,0,1101,516,
684,0,0,1099,520,
685,0,0,1099,524,
686,0,0,1100,525,
687,0,0,1100,521,
688,0,0,1101,516,
689,0,0,1109,509,
690,971,507,1120,505,149.01
691,973,505,1132,504,159.0
692,977,504,1136,504,159.0
693,979,505,1137,504,158.0
694,981,509,1137,508,156.0
695,982,514,1135,512,153.01
696,983,520,1134,518,151.01
697,984,524,1133,521,149.03
698,984,526,1134,524,150.01
699,0,0,1134,525,
700,0,0,1135,526,
701,0,0,1134,526,
702,0,0,1131,525,
703,0,0,1128,524,
704,0,0,1125,521,
705,0,0,1119,516,
706,0,0,1116,514,
707,0,0,1114,513,
708,0,0,1112,513,
709,0,0,1109,515,
710,0,0,1107,518,
711,0,0,1104,521,
712,0,0,1102,524,
713,0,0,1099,528,
714,0,0,1099,529,
715,0,0,1098,528,
716,0,0,1098,525,
717,0,0,1099,519,
718,0,0,1104,515,
719,0,0,1112,517,
720,0,0,1117,521,
721,0,0,1114,522,
722,0,0,1111,522,
723,0,0,1109,527,
724,0,0,1107,530,
725,0,0,1103,534,
726,0,0,1100,536,
727,0,0,1096,540,
728,0,0,1096,540,
729,0,0,1096,541,
730,0,0,1097,542,
731,0,0,1099,541,
732,0,0,1099,541,
733,0,0,1100,541,
734,0,0,1101,539,
735,0,0,1102,538,
736,0,0,1101,535,
737,937,573,1099,534,166.63
738,937,574,1097,533,165.17
739,934,575,1095,533,166.39
740,933,575,1095,533,167.36
741,932,575,1094,533,167.36
742,932,575,1094,532,167.61
743,932,575,1094,532,167.61
744,933,576,1094,532,166.9
745,0,0,1094,532,
746,933,579,1094,533,167.44
747,935,582,1095,536,166.48
748,937,586,1096,539,165.8
749,939,588,1097,541,164.84
750,940,590,1097,542,164.17
751,941,589,1097,542,162.93
752,942,590,1097,541,162.56
753,942,589,1098,539,163.82
754,943,590,1098,537,163.81
755,944,591,1099,535,164.81
756,946,591,1101,532,165.85
757,948,591,1102,529,166.01
758,950,589,1102,525,164.92
759,953,588,0,0,
760,957,585,0,0,
761,0,0,0,0,
762,958,563,0,0,
763,958,544,0,0,
764,960,519,0,0,
765,963,502,0,0,
766,963,495,0,0,
767,960,494,0,0,
768,952,496,0,0,
769,946,500,0,0,
770,939,504,0,0,
771,933,510,0,0,
772,929,514,1086,524,157.32
773,925,517,1085,526,160.25
774,924,520,1085,528,161.2
775,925,521,1084,530,159.25
776,926,523,1086,531,160.2
777,927,523,1088,530,161.15
778,926,523,1088,529,162.11
779,926,521,1087,529,161.2
780,926,521,1087,527,161.11
781,926,520,1087,526,161.11
782,925,520,1086,523,161.03
783,0,0,1086,521,
784,0,0,1088,517,
785,0,0,1091,511,
786,0,0,1091,505,
787,0,0,0,0,
788,936,516,0,0,
789,0,0,0,0,
790,936,509,0,0,
791,936,505,0,0,
792,938,503,0,0,
793,0,0,0,0,
794,0,0,0,0,
795,0,0,0,0,
796,948,495,0,0,
797,0,0,0,0,
798,952,490,0,0,
799,0,0,0,0,
800,0,0,0,0,
801,0,0,0,0,
802,0,0,1061,506,
803,0,0,1055,524,
804,0,0,1052,539,
805,0,0,1049,549,
806,902,594,1049,556,151.83
807,901,597,1050,561,153.29
808,901,602,1050,564,153.77
809,901,604,1050,565,154.02
810,901,605,1050,566,154.02
811,899,606,1049,567,154.99
812,897,608,1048,569,155.96
813,896,609,1047,572,155.47
814,894,612,1046,574,156.68
815,892,614,1045,578,157.18
816,0,0,1044,582,
817,0,0,1043,583,
818,0,0,1042,581,
819,0,0,1041,578,
820,901,603,1043,576,144.54
821,901,598,1043,569,144.93
822,903,592,1047,565,146.51
823,0,0,1052,562,
824,0,0,1053,561,
825,0,0,1055,563,
826,0,0,1055,566,
827,901,593,1053,570,153.73
828,900,598,1051,575,152.74
829,899,602,1048,581,150.47
830,896,608,1048,583,154.04
831,893,611,1048,585,157.17
832,891,612,1047,587,157.99
833,891,612,1047,587,157.99
834,890,612,1048,588,159.81
835,890,612,1048,587,159.97
836,890,610,1048,587,159.67
837,891,609,1048,586,158.68
838,891,605,1046,584,156.42
839,891,602,1046,581,156.42
840,889,596,1045,575,157.41
841,888,589,1044,567,157.54
842,0,0,1042,562,
843,0,0,1040,558,
844,0,0,1039,557,
845,0,0,1038,559,
846,0,0,1037,559,
847,0,0,1034,557,
848,0,0,1034,555,
849,0,0,1034,550,
850,0,0,1034,544,
851,0,0,1035,534,
852,0,0,1037,527,
853,0,0,1038,519,
854,0,0,1038,513,
855,0,0,1036,510,
856,0,0,1036,510,
857,0,0,1034,511,
858,0,0,1034,513,
859,0,0,1033,517,
860,0,0,1034,518,
861,0,0,1035,518,
862,0,0,1034,520,
863,0,0,1033,521,
864,0,0,1030,527,
865,0,0,0,0,
866,0,0,0,0,
867,0,0,0,0,
868,0,0,1017,576,
869,859,608,1016,583,158.98
870,856,613,1015,586,161.28
871,853,615,1015,589,164.07
872,852,618,1015,592,165.06
873,0,0,1016,593,
874,0,0,1018,594,
875,0,0,1022,594,
876,0,0,1024,593,
877,0,0,1029,590,
878,0,0,1036,588,
879,0,0,1041,588,
880,900,616,0,0,
881,912,610,0,0,
882,923,605,0,0,
883,931,604,0,0,
884,935,601,0,0,
885,937,601,0,0,
886,939,600,0,0,
887,942,599,0,0,
888,944,597,0,0,
889,944,596,0,0,
890,944,595,0,0,
891,945,595,0,0,
892,944,595,0,0,
893,944,596,0,0,
894,945,596,1083,563,141.89
895,946,597,1086,567,143.18
896,0,0,1091,568,
897,0,0,1092,571,
898,0,0,1094,573,
899,0,0,1097,579,
900,0,0,1101,585,
901,0,0,1108,593,
902,0,0,1114,596,
903,962,615,1116,596,155.17
904,963,617,1117,596,155.43
905,964,616,1119,595,156.42
906,966,614,1122,593,157.41
907,970,612,1125,590,156.55
908,971,607,1128,588,158.15
909,972,605,1129,586,158.15
910,972,604,1130,585,159.14
911,976,602,1131,585,155.93
912,980,599,1133,585,153.64
913,985,595,1136,583,151.48
914,988,593,1138,578,150.75
915,0,0,1139,571,
916,987,578,1142,564,155.63
917,984,574,1141,559,157.71
918,0,0,1139,555,
919,0,0,1134,552,
920,0,0,1133,549,
921,0,0,1133,548,
922,0,0,1135,545,
923,0,0,1137,542,
924,0,0,1137,540,
925,0,0,1132,536,
926,0,0,1129,534,
927,0,0,1126,532,
928,0,0,1124,530,
929,0,0,1122,530,
930,0,0,1122,530,
931,0,0,1122,529,
932,0,0,1122,529,
933,952,563,1121,528,172.59
934,951,564,1120,527,173.0
935,948,565,1120,528,175.93
936,948,567,1117,530,173.0
937,948,567,1117,530,173.0
938,950,567,1118,530,172.03
939,951,568,1118,529,171.49
940,952,569,1119,529,171.72
941,954,571,1121,528,172.45
942,0,0,1125,527,
943,0,0,1129,526,
944,0,0,0,0,
945,0,0,0,0,
946,989,550,0,0,
947,995,538,0,0,
948,995,532,0,0,
949,994,531,0,0,
950,991,529,0,0,
951,988,526,0,0,
952,982,521,0,0,
953,0,0,0,0,
954,0,0,1125,527,
955,0,0,1118,527,
956,0,0,1110,528,
957,934,524,1105,527,171.03
958,931,522,1103,526,172.05
959,929,522,1100,528,171.11
960,928,522,1098,529,170.14
961,925,522,1094,531,169.24
962,923,523,1088,534,165.37
963,0,0,1082,535,
964,0,0,1075,536,
965,0,0,1068,537,
966,0,0,1065,538,
967,0,0,1065,538,
968,0,0,1066,539,
969,918,533,1066,539,148.12
970,915,539,1066,542,151.03
971,915,544,1065,546,150.01
972,918,546,1067,549,149.03
973,919,547,1069,550,150.03
974,918,549,1070,549,152.0
975,919,549,1072,547,153.01
976,918,546,1074,544,156.01
977,919,542,1076,541,157.0
978,918,541,1077,540,159.0
979,916,542,1077,538,161.05
980,0,0,1076,538,
981,0,0,1077,539,
982,0,0,1078,539,
983,0,0,1080,536,
984,0,0,1082,533,
985,0,0,1083,532,
986,0,0,1083,531,
987,0,0,1082,529,
988,0,0,1081,529,
989,915,567,1080,527,169.78
990,913,569,1080,527,172.2
991,910,572,1078,527,173.92
992,907,574,1076,530,174.63
993,909,576,1075,532,171.73
994,909,576,1076,532,172.7
995,910,576,1076,532,171.73
996,911,575,1076,532,170.51
997,911,576,1076,533,170.51
998,911,576,1076,532,170.77
999,911,576,1076,533,170.51
1000,910,578,1076,533,171.99
1001,910,578,1076,534,171.73
1002,909,578,1073,533,170.06
1003,906,578,1067,532,167.44
1004,0,0,1061,531,
1005,0,0,1060,531,
1006,0,0,1059,531,
1007,0,0,1058,529,
1008,0,0,1058,529,
1009,899,570,1059,529,165.17
1010,0,0,1061,530,
1011,899,546,1067,531,168.67
1012,899,539,1067,531,168.19
1013,894,532,1064,529,170.03
1014,891,524,1060,528,169.05
1015,885,518,1053,526,168.19
1016,880,516,1048,526,168.3
1017,877,514,1046,525,169.36
1018,878,513,1044,527,166.59
1019,877,514,1042,529,165.68
1020,876,518,1039,530,163.44
1021,0,0,1031,531,
1022,0,0,1025,532,
1023,0,0,1016,531,
1024,0,0,1012,535,
1025,0,0,1012,540,
1026,0,0,1015,546,
1027,0,0,1019,549,
1028,0,0,1023,552,
1029,0,0,1026,555,
1030,0,0,1028,556,
1031,0,0,1030,555,
1032,0,0,0,0,
1033,0,0,0,0,
1034,0,0,1028,552,
1035,0,0,1027,550,
1036,0,0,1027,547,
1037,0,0,1029,545,
1038,0,0,1031,546,
1039,0,0,1030,546,
1040,874,568,1030,544,157.84
1041,875,567,1030,544,156.7
1042,0,0,1030,543,
1043,0,0,1031,543,
1044,0,0,1030,545,
